pred.temp.C,river.mile,river.segment,month,temp.station,SEGCODE,latitude,longitude
11.04090705,1,yampa,5,1_yampa,T1,40.51563069,-108.0328329
15.60454425,1,yampa,6,1_yampa,T1,40.51563069,-108.0328329
21.7513803,1,yampa,7,1_yampa,T1,40.51563069,-108.0328329
21.22208666,1,yampa,8,1_yampa,T1,40.51563069,-108.0328329
16.78945945,1,yampa,9,1_yampa,T1,40.51563069,-108.0328329
9.988088003,1,yampa,10,1_yampa,T1,40.51563069,-108.0328329
3.052163479,1,yampa,11,1_yampa,T1,40.51563069,-108.0328329
0.17977124,1,yampa,12,1_yampa,T1,40.51563069,-108.0328329
0.715862912,2,colorado1,1,2_colorado1,C1,39.57423874,-107.4393116
2.241044958,2,colorado1,2,2_colorado1,C1,39.57423874,-107.4393116
5.903779752,2,colorado1,3,2_colorado1,C1,39.57423874,-107.4393116
8.772879985,2,colorado1,4,2_colorado1,C1,39.57423874,-107.4393116
10.30132159,2,colorado1,5,2_colorado1,C1,39.57423874,-107.4393116
12.80493466,2,colorado1,6,2_colorado1,C1,39.57423874,-107.4393116
17.46707899,2,colorado1,7,2_colorado1,C1,39.57423874,-107.4393116
17.79451221,2,colorado1,8,2_colorado1,C1,39.57423874,-107.4393116
14.90879774,2,colorado1,9,2_colorado1,C1,39.57423874,-107.4393116
9.600884579,2,colorado1,10,2_colorado1,C1,39.57423874,-107.4393116
4.259877378,2,colorado1,11,2_colorado1,C1,39.57423874,-107.4393116
1.336359903,2,colorado1,12,2_colorado1,C1,39.57423874,-107.4393116
1.274107027,2,colorado1g,1,2_colorado1g,C2,38.17130962,-109.910216
3.655930166,2,colorado1g,2,2_colorado1g,C2,38.17130962,-109.910216
8.354311633,2,colorado1g,3,2_colorado1g,C2,38.17130962,-109.910216
11.56091463,2,colorado1g,4,2_colorado1g,C2,38.17130962,-109.910216
15.48938542,2,colorado1g,5,2_colorado1g,C2,38.17130962,-109.910216
20.4923849,2,colorado1g,6,2_colorado1g,C2,38.17130962,-109.910216
24.82676462,2,colorado1g,7,2_colorado1g,C2,38.17130962,-109.910216
24.14757615,2,colorado1g,8,2_colorado1g,C2,38.17130962,-109.910216
19.84368263,2,colorado1g,9,2_colorado1g,C2,38.17130962,-109.910216
13.17432495,2,colorado1g,10,2_colorado1g,C2,38.17130962,-109.910216
7.179623289,2,colorado1g,11,2_colorado1g,C2,38.17130962,-109.910216
1.861496444,2,colorado1g,12,2_colorado1g,C2,38.17130962,-109.910216
9.504076289,2,colorado2,1,2_colorado2,C3,36.906375,-111.49966
8.619420934,2,colorado2,2,2_colorado2,C3,36.906375,-111.49966
8.490015478,2,colorado2,3,2_colorado2,C3,36.906375,-111.49966
8.657383754,2,colorado2,4,2_colorado2,C3,36.906375,-111.49966
8.953548958,2,colorado2,5,2_colorado2,C3,36.906375,-111.49966
9.530746823,2,colorado2,6,2_colorado2,C3,36.906375,-111.49966
10.28299201,2,colorado2,7,2_colorado2,C3,36.906375,-111.49966
10.78171098,2,colorado2,8,2_colorado2,C3,36.906375,-111.49966
11.26872649,2,colorado2,9,2_colorado2,C3,36.906375,-111.49966
11.36026044,2,colorado2,10,2_colorado2,C3,36.906375,-111.49966
11.5788861,2,colorado2,11,2_colorado2,C3,36.906375,-111.49966
11.00180614,2,colorado2,12,2_colorado2,C3,36.906375,-111.49966
3.037652901,2,green1,1,2_green1,G1,41.995273,-110.049086
3.052779499,2,green1,2,2_green1,G1,41.995273,-110.049086
3.423758707,2,green1,3,2_green1,G1,41.995273,-110.049086
5.619498124,2,green1,4,2_green1,G1,41.995273,-110.049086
11.14099816,2,green1,5,2_green1,G1,41.995273,-110.049086
15.14231367,2,green1,6,2_green1,G1,41.995273,-110.049086
17.66118512,2,green1,7,2_green1,G1,41.995273,-110.049086
18.38447344,2,green1,8,2_green1,G1,41.995273,-110.049086
16.58531789,2,green1,9,2_green1,G1,41.995273,-110.049086
10.34089713,2,green1,10,2_green1,G1,41.995273,-110.049086
6.19166808,2,green1,11,2_green1,G1,41.995273,-110.049086
2.571898106,2,green1,12,2_green1,G1,41.995273,-110.049086
4.171053811,2,green2,1,2_green2,G2,40.90017623,-109.3889515
3.463270791,2,green2,2,2_green2,G2,40.90017623,-109.3889515
3.775419367,2,green2,3,2_green2,G2,40.90017623,-109.3889515
5.311168625,2,green2,4,2_green2,G2,40.90017623,-109.3889515
7.655542343,2,green2,5,2_green2,G2,40.90017623,-109.3889515
11.07647702,2,green2,6,2_green2,G2,40.90017623,-109.3889515
13.48107731,2,green2,7,2_green2,G2,40.90017623,-109.3889515
14.02000162,2,green2,8,2_green2,G2,40.90017623,-109.3889515
13.50475778,2,green2,9,2_green2,G2,40.90017623,-109.3889515
11.22579569,2,green2,10,2_green2,G2,40.90017623,-109.3889515
